                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.41035,                 1.5183,                 1.0123,                0.52394,                0.87812,                0.70198,                0.69916,                0.11914,                0.78376,                 1.0576,             0.00041613,             0.00041613,             0.00041613
                      2,                0.23216,                  1.096,                0.92013,                 0.5335,                0.83229,                0.72991,                0.71861,                0.16985,                   0.74,                  1.064,             0.00079157,             0.00079157,             0.00079157
                      3,                0.21239,                 1.0556,                0.91199,                0.57355,                0.80362,                 0.7665,                0.76444,                0.08822,                0.76197,                 1.0489,              0.0011258,              0.0011258,              0.0011258
                      4,                 0.1873,                 1.0101,                0.90612,                0.67044,                0.79371,                0.78734,                0.78618,                0.07202,                 0.6844,                 1.0462,              0.0010644,              0.0010644,              0.0010644
                      5,                0.17381,                0.99134,                0.90478,                0.71075,                0.81755,                0.81427,                0.81065,                0.06162,                0.58687,                 1.0476,              0.0010644,              0.0010644,              0.0010644
                      6,                0.15954,                0.96547,                0.90033,                0.73704,                 0.8271,                0.85354,                0.85152,                0.08375,                0.53863,                 1.0472,              0.0010025,              0.0010025,              0.0010025
                      7,                0.14825,                0.95105,                0.89954,                0.73002,                 0.8031,                0.85293,                0.85246,                0.07199,                0.68286,                 1.0444,             0.00094062,             0.00094062,             0.00094062
                      8,                0.14325,                 0.9214,                0.89713,                0.76592,                0.82724,                 0.8659,                 0.8644,                0.05692,                0.49861,                 1.0447,             0.00087875,             0.00087875,             0.00087875
                      9,                0.13436,                0.90313,                0.89485,                0.81747,                0.81545,                0.88529,                0.88369,                0.06302,                0.45365,                 1.0442,             0.00081688,             0.00081688,             0.00081688
                     10,                0.12879,                0.88904,                0.89378,                0.78952,                0.83523,                0.89055,                0.89004,                0.06242,                0.45332,                 1.0433,               0.000755,               0.000755,               0.000755
                     11,                0.08807,                0.55279,                0.90444,                0.79165,                0.83087,                0.89108,                  0.891,                0.05056,                0.43701,                 1.0419,             0.00069313,             0.00069313,             0.00069313
                     12,                0.07416,                0.51037,                 0.9023,                   0.78,                 0.8582,                0.90308,                  0.903,                0.03783,                0.45285,                 1.0414,             0.00063125,             0.00063125,             0.00063125
                     13,                 0.0692,                0.48118,                0.90246,                0.83664,                0.83779,                0.90438,                0.90438,                0.05001,                0.40728,                 1.0414,             0.00056938,             0.00056938,             0.00056938
                     14,                0.06663,                0.45441,                0.90284,                0.81043,                0.84672,                0.91249,                0.91249,                0.04826,                 0.4106,                 1.0409,              0.0005075,              0.0005075,              0.0005075
                     15,                0.06029,                0.42499,                0.90205,                0.83369,                0.84561,                0.91476,                0.91476,                0.04092,                0.38981,                 1.0409,             0.00044563,             0.00044563,             0.00044563
                     16,                0.06027,                0.40581,                0.89745,                0.83366,                0.86879,                0.92764,                0.92764,                0.05576,                0.36139,                 1.0411,             0.00038375,             0.00038375,             0.00038375
                     17,                0.05627,                0.38158,                0.90143,                0.83341,                0.88539,                0.92998,                0.92998,                0.04425,                0.34823,                 1.0408,             0.00032188,             0.00032188,             0.00032188
                     18,                0.05353,                0.37004,                  0.898,                0.84752,                0.87637,                0.93147,                0.93147,                0.03714,                0.33881,                 1.0405,                0.00026,                0.00026,                0.00026
                     19,                0.05156,                0.34865,                 0.8954,                0.85154,                0.87776,                0.93542,                0.93542,                0.04631,                0.33651,                 1.0407,             0.00019813,             0.00019813,             0.00019813
                     20,                0.04743,                0.32007,                0.89975,                0.86664,                0.86642,                0.93874,                0.93874,                 0.0432,                  0.337,                 1.0406,             0.00013625,             0.00013625,             0.00013625
